batch_size,method, score, level, clears, time, mps, cliff_l_e, cliff_h_e, cliff_l_w, cliff_h_w, m_stack_w, m_stack_e, a_stack_w, a_stack_e, stack_d_w, stack_d_e, stack_d_thresh, score_w, go_w
5,greedy,200,1.4,2,8.865391493,4,0.980709302,0,-2.049278156,-6.448808003,-3.660748502,3.270718333,-10,4.35019413,-7.156167197,1.093517242,0,2.538383151,-6.082120981
5,greedy,120,1,1,7.662506771,4,0.980709302,0,-2.049278156,-6.448808003,-3.660748502,3.270718333,-10,4.35019413,-7.156167197,1.093517242,0,2.538383151,-6.082120981
5,greedy,300,1.2,2.6,10.08354459,4,0.006440107,0,-4.231838429,-5.0333874,-4.452365005,3.584398281,-9.251223209,3.603612094,-7.259402185,1.755179352,1.805996027,3.649788031,-6.235034317
5,greedy,880,1.8,6.6,13.24678316,4,0.006440107,0,-4.231838429,-5.0333874,-4.452365005,3.584398281,-9.251223209,3.603612094,-7.259402185,1.755179352,1.805996027,3.649788031,-6.235034317
5,greedy,300,1.2,2.8,10.171104,4,0.42658481,0,-3.719547328,-4.598634744,-5.071026063,3.099234611,-9.904471618,3.336069496,-6.441337175,1.335905949,1.940548321,2.662987175,-6.782135258
5,greedy,280,1,2.8,10.31588187,4,0.42658481,0,-3.719547328,-4.598634744,-5.071026063,3.099234611,-9.904471618,3.336069496,-6.441337175,1.335905949,1.940548321,2.662987175,-6.782135258
5,greedy,300,1.2,2.4,10.51081238,4,0,0,-5.433842015,-5.217732376,-3.420811848,3.552694369,-9.750712971,4.216502655,-8.72976692,2.42573292,2.058300064,4.436156696,-5.356010996
5,greedy,160,1.2,1.6,9.399195099,4,0,0,-5.433842015,-5.217732376,-3.420811848,3.552694369,-9.750712971,4.216502655,-8.72976692,2.42573292,2.058300064,4.436156696,-5.356010996
5,greedy,200,1,2,9.896990108,4,0,0,-4.229616327,-6.075750547,-3.75225128,3.633321605,-8.085665141,4.061729444,-8.400797604,2.523524995,3.147848241,4.217711626,-6.813591799
5,greedy,340,1.4,3,11.21796007,4,0,0,-4.229616327,-6.075750547,-3.75225128,3.633321605,-8.085665141,4.061729444,-8.400797604,2.523524995,3.147848241,4.217711626,-6.813591799
5,greedy,300,1.2,2.2,10.14429026,4,0,0,-4.325173672,-6.221793851,-4.591034131,3.483529842,-8.745026966,3.937769881,-7.425221305,1.839297502,1.44770173,3.504266607,-6.457669693
5,greedy,180,1,1.8,9.996081924,4,0,0,-4.325173672,-6.221793851,-4.591034131,3.483529842,-8.745026966,3.937769881,-7.425221305,1.839297502,1.44770173,3.504266607,-6.457669693
5,greedy,720,1.6,5.4,12.68233018,4,0,0,-3.796699137,-6.272487972,-3.054042884,3.838613311,-8.681265916,3.558900388,-7.141497684,2.498393502,1.483384958,4.983459248,-5.645534402
5,greedy,480,1.2,4,10.82998271,4,0,0,-3.796699137,-6.272487972,-3.054042884,3.838613311,-8.681265916,3.558900388,-7.141497684,2.498393502,1.483384958,4.983459248,-5.645534402
5,greedy,460,1.2,3.8,10.78780909,4,0.25779429,0,-4.225949626,-5.495612406,-3.162239506,4.06622017,-8.839461447,3.605610353,-7.987898148,2.917358965,1.988748779,4.591226716,-5.364983708
5,greedy,420,1.4,3.8,10.74919095,4,0.25779429,0,-4.225949626,-5.495612406,-3.162239506,4.06622017,-8.839461447,3.605610353,-7.987898148,2.917358965,1.988748779,4.591226716,-5.364983708
5,greedy,420,1.2,4,10.7522747,4,0,0,-4.519075686,-6.250615112,-2.265781335,4.121646056,-9.219098985,3.078373761,-6.534582422,2.837051026,1.21265982,5.465624338,-6.023611817
5,greedy,620,1.4,5,11.31137877,4,0,0,-4.519075686,-6.250615112,-2.265781335,4.121646056,-9.219098985,3.078373761,-6.534582422,2.837051026,1.21265982,5.465624338,-6.023611817
5,greedy,480,1.4,4,11.03053164,4,0.102250909,0.044831014,-3.219391889,-6.056722036,-2.839913524,3.778575414,-8.095611887,3.48008546,-7.845772872,2.666871289,0.276238651,5.010652327,-5.174202142
5,greedy,720,1.8,5.8,12.05915375,4,0.102250909,0.044831014,-3.219391889,-6.056722036,-2.839913524,3.778575414,-8.095611887,3.48008546,-7.845772872,2.666871289,0.276238651,5.010652327,-5.174202142
5,greedy,920,1.6,6.8,13.54478965,4,0,0,-4.382295861,-5.579114097,-2.955616011,3.503112795,-7.998584986,3.291981194,-7.605934864,2.188979342,2.45153849,5.285676628,-6.476496568
5,greedy,660,1.6,5,11.46417451,4,0,0,-4.382295861,-5.579114097,-2.955616011,3.503112795,-7.998584986,3.291981194,-7.605934864,2.188979342,2.45153849,5.285676628,-6.476496568
